name,address,website,phone_number,reviews_count,reviews_average
School Of Excellence Sukkur Main branch,"PR7P+G2Q, G.E.C.H.S., Sukkur, Pakistan",http://soe.edu.pk/,+92 71 5804400,,
Queen Mary School Sukkur,"AH2, By pass Road, near Sukkur Township, Sukkur, 65200, Pakistan",,,,
IBA Public School Sukkur,"PR3V+4P4, Military Rd, Sukkur, Pakistan",https://business.google.com/create?fp=7910453643939944540&hl=en&authuser=0&gmbsrc=-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,+92 71 5816809,,
Government Comprehensive Higher Secondary School Sukkur,"PR6V+X3X, Board office Rd, Makha Goth, Sukkur, Pakistan",https://business.google.com/create?fp=5447376527174297278&hl=en&authuser=0&gmbsrc=-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,,,
Queen Mary School Sukkur,"AH2, By pass Road, near Sukkur Township, Sukkur, 65200, Pakistan",,,,
