name,address,website,phone_number,reviews_count,reviews_average
The City School Nawabshah Campus,"Plot No. D, Housing Society Nawabshah 31, Cooperative Housing Society, Nawabshah, Pakistan",,+92 244 330580,,
"Quaid-e-Azam Rangers School & College, Nawabshah","Fire Brigade, Gate No 2 Court Rd, Civil Lines, Nawabshah, 67450, Pakistan",https://business.google.com/create?fp=9017086636814138414&hl=en&authuser=0&gmbsrc=-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,+92 244 9370290,,
Allied School Nawabshah,"69XW+588, Nawabshah, Pakistan",http://www.alliedschools.edu.pk/,+92 335 3813555,,
Shahwaliullah school nawab shah,"6CP8+3J9, Kaka Pota Nawabshah, Pakistan",https://business.google.com/create?fp=7021437501011799306&hl=en&authuser=0&gmbsrc=-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,,,
Beaconhouse Nawabshah Campus,"House#A521 Society Link Road, University Rd, near Awami Colony, Nawabshah, Pakistan",,,,
